"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u15327",3.88,4.17,5.15,3.01,-3.54,5.24,1.55,7.86,1.7,0.19,2.43,0.97,-5.73,4.37,-5.05,-5.49,2.43,4.66,-2.52,4.17,0.58,0.87,-2.33,7.14,-1.65,2.04,5.15,-1.55,5.83,-2.14,0.68,4.17,3.4,0.49,2.82,4.85,-1.36,-3.69,-1.75,-1.55,-5.15,1.17,-3.3,0.19,-1.17,-3.01,3.2,4.27,-0.39,4.17,0.78,-0.19,0.87,3.4,-1.17,0.39,5,6.75,2.04,0.58,1.36,3.11,3.2,5.05,5.05,-1.17,-4.37,0.1,-1.94,-2.82,NA,NA,-1.07,NA,4.85,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u14028",-7.77,-4.37,-1.89,-9.37,-7.14,-0.15,-7.86,-8.01,-8.59,3.64,-0.44,4.9,-8.64,3.16,-6.94,0.49,-8.64,-8.83,-8.45,-0.34,-0.19,4.22,1.99,-8.79,6.07,-0.63,9.13,8.2,8.3,3.59,3.2,6.46,-9.56,8.54,7.72,4.85,3.74,-1.31,4.32,4.66,-9.22,8.74,-9.47,-9.61,5.92,3.98,2.77,-0.29,1.26,-2.62,-7.91,3.3,9.13,1.26,-9.32,7.43,-9.22,NA,3.93,-9.37,6.17,4.51,0.78,-8.98,6.46,6.55,-7.23,4.61,4.03,9.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,-2.33,NA,NA,NA,NA,-6.89,NA,NA,NA
"u3447",4.51,-1.99,-7.48,-9.27,-6.8,-1.41,0.68,0.92,-9.27,-2.82,-1.26,-3.11,-5.58,-0.49,-2.09,-0.97,1.07,-3.59,-4.22,0.68,1.55,1.41,-2.67,1.41,-2.67,9.13,3.3,-1.99,6.41,-4.76,-2.77,-2.91,-8.64,-2.82,4.32,-3.06,-9.27,1.41,0.15,1.41,-4.81,-3.88,-8.64,-5.15,-2.72,-0.49,-2.38,-0.68,3.98,-3.59,-5.19,-2.48,-0.97,0.58,-4.76,6.65,-5.39,-8.35,-4.81,-8.64,8.54,-3.88,-1.5,-8.64,-3.88,1.26,-8.64,3.16,1.31,-2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,NA,NA,NA,NA,NA,NA,4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7091",NA,NA,NA,NA,7.18,8.79,-1.17,-4.76,NA,5.58,-0.92,5.92,-4.71,-9.56,4.76,1.99,4.37,4.76,7.67,-7.82,-6.99,1.6,7.33,9.08,-8.83,-3.5,7.38,8.98,5.44,-1.17,-9.42,9.32,NA,-0.78,5.34,8.25,NA,4.03,-8.93,5.44,-8.2,2.67,-4.61,NA,8.45,9.08,-3.83,0.44,8.64,8.93,1.94,-4.27,5.68,9.17,7.14,1.5,-9.37,NA,-3.35,9.13,8.45,3.79,4.47,-9.56,-0.29,-3.11,1.36,9.22,6.7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u16",-3.5,1.55,2.33,-4.13,4.22,-2.28,-2.96,-0.49,2.91,1.99,-1.99,5.53,-4.66,4.9,2.52,-0.68,0,-2.23,-6.6,-0.29,5.73,-1.65,-3.83,-4.13,-3.88,-2.43,5.73,-0.68,5.97,-3.45,0.63,0.19,3.06,7.04,5.39,5.78,-7.96,-0.19,1.65,-1.12,1.02,-5.05,-6.17,-4.37,-3.79,3.4,0.97,-3.54,4.22,5.24,3.93,4.22,-7.18,1.8,-1.17,4.17,-5.24,-6.8,3.93,-3.93,-0.68,0.53,-4.51,-2.96,6.02,3.2,-3.69,6.41,3.93,-3.3,4.22,-3.4,-3.2,-4.37,-2.38,-3.64,-0.39,2.04,-5.68,-4.22,-6.6,-4.47,6.21,-2.28,-1.94,-6.26,0.49,-0.87,4.47,-2.77,3.11,1.7,0.24,-5.92,7.28,-1.36,3.74,2.82,-2.86,3.45
"u23416",-6.46,-2.28,-4.71,8.11,-4.03,7.52,7.48,-1.99,-6.6,0.34,-3.98,-4.47,-6.8,1.17,8.16,-4.22,7.82,8.16,3.54,5.92,4.03,8.59,-6.17,-8.54,3.01,5.49,7.82,7.52,6.5,-6.7,1.26,8.11,-9.37,-1.99,8.06,7.43,-2.62,7.91,1.55,-2.48,5.73,8.16,-9.42,-9.32,3.06,-2.09,5.29,3.16,7.82,8.01,-9.32,-4.27,7.38,8.54,-7.23,-1.84,-9.66,-9.37,1.12,2.43,7.96,7.72,0.73,-3.83,0.53,8.3,-6.55,7.14,3.69,-1.84,NA,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,7.38,NA,NA,NA,NA,NA,NA,NA
"u9790",NA,NA,NA,NA,8.69,7.91,8.64,2.86,NA,-7.57,8.06,-7.57,-4.42,6.6,-7.96,6.36,-7.04,-0.73,-5.49,3.3,8.25,-7.52,NA,NA,NA,7.57,-6.41,7.52,-8.64,NA,7.57,3.35,NA,-7.57,8.64,8.93,NA,-7.57,7.96,7.62,5.34,7.96,NA,NA,NA,-7.52,-7.62,7.57,7.72,3.54,NA,8.01,8.69,7.82,NA,7.57,NA,NA,NA,NA,7.57,-3.25,-7.67,NA,7.77,6.17,NA,8.88,7.67,NA,6.84,NA,NA,NA,-4.37,NA,NA,NA,NA,NA,NA,NA,-5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23946",9.03,6.55,9.27,1.17,5.73,3.74,3.69,2.52,NA,6.41,4.42,3.88,-7.04,4.32,5.29,-9.95,-2.52,-6.75,0.39,-5.68,0.87,4.37,3.45,6.17,2.62,-3.16,1.75,1.02,5.53,-3.74,5.39,2.52,6.21,-2.77,0,1.46,NA,3.25,-0.58,1.36,8.06,0.63,-8.01,NA,5.19,-7.09,2.04,-1.65,-8.54,3.93,-3.4,4.08,4.81,-5.05,8.25,4.56,NA,NA,2.18,2.18,2.09,-7.62,-4.81,5.78,3.54,5.68,-7.33,1.17,3.79,-7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,NA,NA,2.09,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u12543",4.03,4.42,3.88,3.88,-0.53,4.17,-4.56,-0.44,3.93,4.17,3.98,4.61,3.25,4.56,-3.83,-0.68,-0.53,1.89,1.94,2.52,1.84,3.83,4.22,3.88,3.69,5.63,3.2,4.95,4.47,3.88,5.19,2.33,4.13,3.69,5.05,3.45,4.32,3.35,4.32,4.56,3.79,5.92,4.22,3.83,3.64,4.03,6.07,2.14,3.88,2.91,3.2,3.74,3.93,6.07,3.64,5.1,3.83,3.88,3.74,-0.58,3.79,6.6,4.22,3.98,2.04,4.81,4.17,5.73,2.77,3.79,NA,NA,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u11449",NA,NA,NA,NA,2.33,2.96,-3.93,2.18,NA,-1.41,0.68,NA,-0.44,2.23,-4.37,-3.69,5.34,0.19,1.21,0.39,-0.1,-2.48,NA,NA,1.07,NA,2.33,3.59,2.33,NA,3.35,1.8,NA,NA,4.08,1.99,NA,1.8,3.3,1.65,3.35,3.54,NA,NA,NA,NA,3.83,3.69,4.08,3.4,NA,NA,2.52,3.4,NA,0.63,NA,NA,NA,-0.83,3.2,1.84,-1.7,3.11,2.38,NA,NA,4.37,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,-2.62,NA,NA,3.98,NA,NA,NA
"u17738",4.03,6.89,8.64,5.58,8.74,8.3,-2.43,-8.3,4.81,-8.3,9.32,8.69,-8.69,8.79,-8.69,-4.66,-9.13,-8.2,-8.01,-2.43,8.4,8.11,5.58,7.62,8.79,-6.75,8.93,1.12,6.26,6.17,8.79,9.08,-2.82,5.34,8.11,6.84,6.6,-1.6,8.93,8.69,8.59,8.45,-6.99,4.76,8.69,8.83,8.79,-8.93,8.74,8.98,8.45,-0.34,8.74,5.68,7.91,8.83,NA,NA,-1.99,-2.62,7.86,4.76,-9.51,8.3,9.03,8.59,-2.91,7.86,7.82,-1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u3482",1.99,-5.63,-5.49,-6.75,-1.21,5.05,-5.78,-6.31,-5.39,4.66,-6.65,1.36,-5.63,0.73,-5.68,-5.68,-0.49,-4.42,0.19,-2.62,2.04,0.73,4.51,-5.87,3.45,0.24,-0.49,-2.82,-0.29,-0.63,1.6,2.09,-6.02,1.12,-1.02,0.68,-4.47,-6.31,-0.63,-5.53,-5.24,4.85,-5.34,-6.89,0.78,-1.55,1.31,1.17,5.34,-0.24,2.72,1.6,1.41,-6.31,-6.55,0.58,-6.21,-6.12,-5.44,-6.41,2.14,1.84,-3.16,-6.75,2.18,1.6,1.12,1.12,1.12,2.86,-5.83,0.05,-1.8,-5.29,-1.12,1.07,0.58,0.44,0.63,2.77,-4.13,-4.51,4.85,-1.31,-1.7,-2.28,1.94,-0.24,3.88,1.65,0.34,2.77,-0.39,1.02,-0.83,4.85,4.61,-0.19,1.17,0.63
"u12830",3.16,-0.29,NA,NA,2.82,1.17,-2.48,-0.73,NA,4.51,3.5,4.66,0.73,4.61,-8.25,2.38,-0.78,0.92,-0.87,0.97,4.08,2.86,2.04,NA,NA,3.11,4.42,2.38,1.21,1.46,1.21,3.79,2.28,5,3.25,3.64,NA,2.28,0.87,0.58,3.35,4.71,3.35,1.5,1.36,3.98,3.5,4.37,4.76,3.16,3.25,1.21,3.79,2.14,2.82,3.54,NA,NA,2.33,3.01,4.56,2.82,2.09,1.89,3.54,3.69,-0.68,2.77,6.17,1.6,NA,NA,NA,0.63,NA,NA,NA,NA,NA,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"u13732",NA,NA,NA,NA,6.84,NA,3.3,3.88,NA,NA,NA,NA,5.34,-0.73,5.1,-3.3,-1.02,4.81,5.24,5.19,-0.34,NA,NA,NA,NA,-0.49,-1.31,-0.63,7.48,NA,1.46,7.72,NA,NA,0.39,7.67,NA,0.68,-5.34,-7.67,NA,7.62,NA,NA,NA,4.85,NA,4.17,7.91,7.38,NA,NA,7.57,5.92,NA,-4.37,NA,NA,NA,NA,1.46,-3.93,NA,NA,4.03,2.38,NA,6.7,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,NA,NA,3.16,NA,NA,NA,NA,NA,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u16180",3.93,1.17,-9.37,-7.72,4.85,-0.49,-8.54,8.98,0.1,4.13,-4.27,4.37,-9.76,-2.18,-7.67,-7.91,-1.02,4.56,-7.82,-7.62,2.23,8.59,-4.47,2.67,5.19,6.55,4.37,4.9,-0.24,6.41,9.17,8.64,-4.66,-2.91,8.83,8.5,5.83,4.9,-8.35,-4.17,1.55,-6.41,-7.38,-3.45,2.96,1.5,-2.23,5.87,4.95,5.78,-5.19,5.19,1.6,4.32,0.92,-1.46,-9.08,-7.18,6.6,6.94,2.67,7.18,6.94,6.46,-2.72,8.01,6.31,-0.83,6.55,2.33,NA,NA,NA,NA,NA,0.68,-4.76,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u9121",NA,NA,NA,NA,0.49,NA,8.06,-2.33,NA,NA,-1.07,NA,-9.47,-0.68,-0.29,-3.64,5.1,3.54,4.32,7.86,3.69,0.24,0.1,NA,-7.48,-3.93,6.55,-2.23,8.93,NA,0.34,8.74,NA,7.77,9.08,9.13,NA,-2.38,6.17,3.11,NA,3.83,7.43,NA,-0.63,-2.33,3.16,-6.17,8.59,8.83,NA,NA,8.83,8.93,NA,8.11,NA,4.56,NA,NA,8.88,9.22,NA,NA,4.03,8.16,NA,2.86,-0.58,NA,NA,NA,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17,NA
"u3336",-0.58,-2.23,-2.62,-5.39,-6.84,5.97,-2.82,-6.75,-5.92,3.4,-0.92,5.44,-5.97,4.61,-5.44,-5.87,-2.33,-6.36,-3.06,-2.82,4.37,1.99,7.04,-2.33,4.42,2.91,6.12,-1.55,-2.23,-2.18,4.13,5.15,-2.43,7.18,5.97,2.23,-5.68,7.09,3.79,2.14,-5.44,0.05,-5.58,-7.43,-2.04,4.22,5.1,-1.5,-1.31,-2.57,-1.46,1.21,5.87,-1.17,1.99,3.79,-3.35,-5.29,-2.04,-2.33,3.88,6.02,-4.66,-5.68,2.04,-0.73,-0.15,4.56,4.85,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u1810",NA,NA,NA,NA,-4.32,3.2,-5.34,-3.16,NA,-3.01,6.89,4.37,1.6,6.65,-8.74,0.97,-1.5,-0.15,0.44,-2.43,7.09,-0.34,2.14,NA,5.92,3.69,5.87,5.87,8.2,NA,6.99,4.51,NA,-7.28,0.29,6.26,NA,-0.24,-4.27,NA,NA,-4.71,NA,NA,-8.4,-3.3,-1.55,-7.04,3.88,3.79,NA,0.97,8.16,8.25,2.48,-7.67,-7.14,NA,NA,-7.04,-1.6,6.26,2.04,NA,-4.95,0.53,-7.04,0.15,2.14,-3.5,NA,4.76,NA,NA,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79,NA,NA,NA,NA,NA,NA,NA,NA
"u18655",4.32,-0.19,-2.43,-5.92,-0.49,4.32,8.64,-1.21,-8.06,3.59,-4.85,-4.13,4.42,-1.8,-8.11,-4.56,1.65,-6.12,-2.52,-8.2,8.98,5.34,1.6,1.17,3.3,-4.13,7.48,-8.98,0.34,-2.23,-0.83,4.22,-8.06,-0.19,5.63,3.06,-6.65,8.93,4.32,9.03,2.43,9.13,-3.54,-9.81,-5.49,9.08,-4.71,1.94,-0.49,8.98,6.02,5.92,0.53,-5.78,2.48,9.13,-2.82,-9.76,-4.51,-0.97,5.34,4.71,-2.09,-7.33,-9.32,-4.47,-4.95,2.23,9.17,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u17216",4.9,5,9.32,8.93,9.13,9.17,3.4,9.17,-8.54,-9.85,9.22,5.15,-9.47,9.22,9.13,-0.05,2.72,6.17,-9.81,-0.39,9.22,8.83,-0.29,4.71,3.64,9.17,9.22,9.37,9.22,5.87,9.37,9.22,-9.71,0.05,9.22,9.22,-9.56,9.17,9.17,9.17,-5.1,4.27,9.13,-9.03,9.17,9.13,3.54,9.37,9.13,9.17,6.8,9.22,3.88,9.17,-0.05,9.17,-4.17,-9.56,6.21,-9.9,9.27,9.22,9.17,7.52,3.01,9.22,2.77,4.85,9.03,8.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u18712",5.44,3.74,5.63,0.83,2.86,3.16,2.77,4.03,0.49,3.01,5.68,2.43,5.68,3.25,3.35,0.83,5.68,-2.09,0.92,0.92,3.25,1.07,8.16,1.07,0.15,-1.46,3.69,3.01,5.78,3.4,2.96,3.79,3.74,4.9,9.08,5.68,4.03,5.53,5.53,0.97,2.91,-1.84,5.83,3.45,2.43,-4.27,0.63,3.35,5.63,5.63,3.88,-1.55,5.83,5.92,6.21,3.69,3.79,8.3,6.36,5.58,6.41,5.78,2.91,5.44,1.12,2.96,3.25,2.72,5.78,5.19,-5.92,1.17,0.87,-0.63,-9.17,4.85,5.49,3.45,-1.12,-3.69,9.08,6.99,7.48,7.52,1.31,5.78,8.88,6.07,3.16,7.43,2.67,1.41,5,4.85,6.21,-3.2,5.39,2.62,5.39,5.58
"u3847",-2.82,0.05,-1.65,-7.38,-0.34,1.17,-1.94,0.97,-3.11,2.43,1.89,0.29,-9.27,5.15,-2.82,-4.56,-2.72,-2.33,1.8,3.79,4.71,-3.45,-2.09,-4.42,1.41,4.85,-1.7,3.2,4.9,3.3,5.58,7.86,-0.73,0.73,4.56,2.96,-5.1,6.7,1.94,5.34,8.35,0.29,4.22,-7.43,0.87,6.8,-6.8,2.91,6.89,7.38,1.46,0.68,6.41,0.19,4.51,5.19,-3.5,-9.66,-3.4,3.64,3.06,1.6,1.17,-2.96,0.34,-3.06,-9.37,4.81,6.75,3.45,NA,NA,NA,NA,NA,NA,NA,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84,NA,NA,NA,NA
"u14680",4.08,-6.89,6.94,0.05,3.16,3.64,-0.63,-9.47,5.1,4.27,-0.29,-5.83,4.08,-6.36,-6.36,3.88,-5.39,7.57,7.28,8.5,-6.5,4.08,7.86,4.95,-0.78,-5.92,6.12,3.69,-5.92,5.49,-0.19,1.07,0.92,-7.23,6.21,5.19,4.51,5.92,-3.35,-0.53,-4.51,5.1,-0.49,4.81,4.27,5.87,5.78,5.29,5.78,6.99,-0.68,-0.68,-0.39,5.24,5.58,-6.41,8.5,5.97,3.3,5.83,3.4,6.5,2.82,-1.75,6.02,7.18,4.22,6.21,-0.39,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,NA,NA,NA,NA,NA,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA
"u18696",NA,NA,NA,NA,-0.49,NA,0.15,-4.17,NA,NA,NA,6.12,3.3,6.65,-4.85,4.37,4.42,3.59,6.65,5.19,4.51,5.68,NA,NA,6.65,5.68,9.13,4.27,5,NA,7.86,5,NA,8.4,5.68,6.07,NA,5.68,5.68,5.87,NA,5.24,NA,NA,5.83,NA,8.01,5.92,5.53,4.37,NA,NA,7.14,7.33,NA,5.15,NA,NA,-4.9,NA,7.43,5.97,-0.24,5.24,7.48,4.47,NA,8.45,5.49,1.6,NA,NA,NA,NA,NA,NA,NA,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u22352",3.2,2.82,6.12,NA,-2.91,1.31,-2.62,-3.4,NA,5.53,3.2,2.09,-6.31,5.24,-4.32,-9.47,-6.36,-9.56,-3.69,-3.69,0.73,-0.44,3.2,2.38,1.41,2.18,0.68,2.67,-0.15,4.42,4.81,1.99,NA,4.13,3.64,0.58,NA,0.39,2.28,-1.07,5.19,0.97,4.22,NA,-2.33,2.57,1.31,1.36,1.8,1.89,-2.04,-0.49,5.34,0.49,4.13,1.99,NA,-2.33,NA,3.74,1.7,-0.68,1.8,5.19,-6.94,0.15,-3.54,3.64,1.99,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7544",4.66,5.73,4.61,4.32,8.2,7.18,7.28,8.4,4.32,5.24,2.82,3.45,7.43,3.98,0.53,4.76,1.36,1.5,2.09,1.17,8.11,6.99,3.98,4.13,3.98,3.45,5.34,4.71,5.39,4.51,4.81,5.97,4.71,4.27,1.8,0.63,3.64,3.79,5.49,6.6,5.19,5.87,4.32,3.5,4.76,4.9,3.35,5.53,3.2,7.48,4.32,3.83,5.44,7.72,1.84,5.53,3.35,4.76,4.13,3.88,6.36,7.09,6.07,3.88,5.39,4.51,3.4,3.79,3.79,6.46,5.78,3.45,4.32,4.81,5.24,-7.48,4.61,5,4.13,5.15,4.71,4.27,6.84,5.05,4.32,4.27,3.79,5.44,3.69,7.33,5.19,2.33,3.06,4.71,3.74,5.68,4.71,4.03,5.39,6.07
"u16091",0.87,-9.37,-9.61,-9.85,-1.99,-7.96,-1.12,-2.82,-9.47,-8.83,-9.27,-9.17,1.07,-9.37,6.7,2.43,-2.14,6.02,-7.52,-8.35,-7.77,-8.59,-8.25,-9.71,-9.56,-8.69,-4.51,0.15,3.83,-9.08,-7.77,-8.06,-9.32,-9.51,-7.96,-2.57,6.6,-5.15,-7.82,-8.93,-9.56,-7.82,-9.47,-9.66,-8.3,-8.59,-9.22,-8.74,-4.66,3.74,-9.47,-9.47,-4.66,-7.04,-9.61,-7.28,-9.76,-8.98,-8.11,-3.79,-9.32,-1.5,-9.37,-9.51,-7.57,-7.62,-9.17,-3.3,-6.89,-9.66,-6.8,-6.12,-8.06,-7.04,-5.53,-3.64,-7.91,-7.28,-8.11,-8.98,-2.04,-4.37,-8.25,-2.96,-3.69,-0.68,-2.52,-1.8,0.49,-6.21,-5.29,-2.38,-4.17,-2.38,-9.42,-3.69,-8.88,-9.03,-7.43,-7.67
"u8273",-0.92,-2.82,-0.58,-9.81,2.18,-6.41,-9.27,-2.33,-5.73,1.36,5.78,-9.42,-8.64,-9.47,-1.84,-9.76,-3.88,6.89,-2.91,-2.38,-7.77,0.44,-6.84,-9.47,-7.91,-7.38,-7.77,-1.46,-3.74,-5.19,-9.85,0.73,-2.86,-4.61,-1.36,-0.05,-9.17,-0.63,-9.66,-7.18,-9.76,-8.88,7.52,-9.47,-6.6,3.3,0.15,-1.02,-4.95,-3.93,-6.6,-6.07,-0.78,4.37,-3.35,-7.72,-7.82,-9.76,-0.73,7.62,-1.6,1.07,-3.3,-6.8,-7.57,0.29,0.53,1.55,-3.35,2.09,-3.83,3.4,-6.31,-8.93,-6.5,2.57,0.19,-6.41,-6.75,-9.71,-8.64,-4.71,-8.54,2.23,-4.9,3.16,-2.86,-6.17,3.93,1.99,-3.54,-7.48,-3.01,6.65,3.98,0.05,-2.09,3.64,-4.03,-6.31
"u14797",7.04,4.71,-9.76,-9.71,5.15,7.72,-5.1,-9.08,-9.81,-8.83,8.59,-3.01,-8.98,8.83,-9.85,-9.9,-0.1,-8.16,-9.37,4.03,-9.61,-9.81,-9.22,-9.81,1.5,3.06,-9.32,9.13,5.19,-9.56,5.92,-9.51,-9.61,3.54,-6.8,6.21,-9.81,-9.85,4.32,7.62,-9.61,6.02,-9.85,-9.9,4.71,-1.94,9.03,6.75,9.13,2.91,5.05,8.35,2.38,4.95,-9.56,8.54,-9.9,-9.81,1.41,-9.61,9.22,8.69,9.17,-9.61,-9.13,9.13,-9.61,8.83,-1.7,-8.98,9.03,9.03,7.43,-2.57,-8.83,7.67,7.57,7.57,7.57,6.8,5.97,-8.45,2.04,2.67,7.38,7.72,7.72,6.7,9.03,-8.64,-6.89,-4.27,9.08,7.04,-9.66,7.57,6.75,7.96,6.26,8.74
"u2056",NA,NA,NA,NA,-0.49,NA,1.26,0.1,NA,7.52,-2.57,1.12,7.33,NA,4.61,7.09,4.71,-0.05,6.55,-0.19,7.77,NA,NA,NA,3.16,-1.65,5.78,0.1,6.8,4.51,NA,3.64,NA,NA,7.52,5.19,NA,-5.63,NA,NA,NA,6.02,NA,NA,4.42,0.1,NA,2.72,-0.24,8.88,NA,NA,7.86,-4.61,NA,3.79,9.27,NA,NA,NA,-8.35,-0.49,8.25,NA,NA,9.37,NA,3.59,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,NA,NA,NA,NA,NA,NA,NA,7.04,NA,NA,NA
"u14830",NA,NA,NA,NA,-7.04,-0.68,-7.48,1.75,NA,3.11,-6.94,-3.16,-6.36,-8.64,-9.32,3.16,1.02,4.42,2.67,-9.56,1.84,-7.28,-2.67,NA,-8.2,1.65,3.98,-8.4,-0.97,-7.28,-5.49,6.55,NA,-0.83,-0.78,4.71,NA,-3.06,2.14,0.34,-9.37,2.18,-8.59,NA,-6.7,-6.94,2.77,-5.87,3.11,7.23,NA,-5.87,5.15,-5.63,-4.37,-7.38,NA,NA,-7.96,NA,-7.52,-0.58,-7.62,NA,5.68,0.53,-9.32,-2.48,-2.82,-3.3,NA,NA,NA,NA,NA,NA,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA
"u14591",3.54,0.92,1.89,-4.42,-6.12,3.64,4.47,7.28,-1.36,-4.76,-5.15,4.22,-0.53,5,-2.72,-7.62,-1.8,3.79,4.51,0.73,-4.76,4.42,-1.89,-0.97,3.69,3.06,3.64,4.37,3.69,1.65,4.27,5.34,-0.73,1.55,5.58,7.67,4.22,3.93,-5.1,1.31,-0.78,-5.15,-1.17,-4.37,6.75,7.09,5.1,7.38,3.88,4.03,-4.85,-4.9,-9.17,8.11,6.89,4.03,-4.9,3.74,-4.76,4.9,5.78,6.21,3.59,5.68,-5.1,8.5,0.58,4.66,8.25,4.51,-0.68,-0.44,-4.13,2.43,1.02,4.47,-2.86,-3.06,-3.16,0.58,4.08,3.2,-1.12,1.21,-1.07,-0.87,4.76,4.42,4.42,4.51,6.7,6.5,3.3,3.35,4.42,3.93,-0.44,1.65,0.15,-5.58
"u16378",-5.05,-9.66,-5.1,-3.3,-8.5,-0.1,-2.28,-6.65,-2.82,-2.82,2.14,2.52,-5.68,3.06,-8.69,-5.68,3.2,-3.01,-0.97,-1.31,-5.39,-8.88,-2.33,-2.77,-4.42,-6.65,1.12,0.68,-9.32,-5.05,-2.62,6.21,-5.87,-2.96,-4.95,-2.91,-5.05,-1.26,-2.96,-0.39,-8.54,-3.45,-7.28,-9.32,-3.74,0.83,3.74,-0.68,-5.24,0.1,-6.5,-5.1,4.51,-4.9,-7.62,1.02,-3.45,-4.85,-0.1,-7.04,1.75,5.83,-9.17,-7.72,-7.77,1.17,-4.61,5.24,3.69,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46,NA,-4.37,NA,NA,NA,NA,NA
